FirstName,LastName,birthdate,Gender,vacation_days,Shop,role,shift
Ciríaco,Escolano,1985-12-10 20:49:09,Male,7,RB Leipzig de - KickOff Kits,Inventory Clerk,11:00 AM - 7:00 PM
Goyo,Hernandez,1992-09-17 21:33:10,Male,2,RB Leipzig de - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Úrsula,Sedano,1989-06-23 20:00:41,Female,3,RB Leipzig de - TurfTrends Emporium,Inventory Clerk,11:00 AM - 7:00 PM
Silvio,Estévez,1987-10-25 20:43:53,Male,14,RB Leipzig de - TurfTrends Emporium,Customer Service Representative,10:00 AM - 6:00 PM
Félix,Codina,2001-04-30 09:01:52,Male,13,RB Leipzig de - TurfTrends Emporium,Customer Service Representative,10:00 AM - 6:00 PM
Cipriano,Pintor,1988-03-18 03:55:16,Male,6,RB Leipzig de - TurfTrends Emporium,Cashier,10:00 AM - 6:00 PM
José Luis,Cazorla,1999-03-03 03:18:05,Male,11,RB Leipzig de - TurfTrends Emporium,Inventory Clerk,10:00 AM - 6:00 PM
Dionisio,Díaz,1975-01-12 18:49:09,Male,3,RB Leipzig de - PitchSide Pro Shop,Customer Service Representative,9:00 AM - 5:00 PM
Régulo,Torrent,1989-06-14 20:28:55,Male,13,RB Leipzig de - PitchSide Pro Shop,Inventory Clerk,11:00 AM - 7:00 PM
Herminio,Plana,1981-10-14 06:22:07,Male,6,RB Leipzig de - SoccerSphere,Store Manager,10:00 AM - 6:00 PM
Luisa,Tejada,1995-09-06 20:36:23,Female,12,RB Leipzig de - SoccerSphere,Inventory Clerk,12:00 PM - 8:00 PM
Paulina,Barrio,1984-11-26 11:43:05,Female,13,RB Leipzig de - SoccerSphere,Store Manager,11:00 AM - 7:00 PM
Anacleto,Rocha,2002-07-16 18:05:45,Male,15,RB Leipzig de - SoccerSphere,Customer Service Representative,10:00 AM - 6:00 PM
Haroldo,Prats,1978-10-11 18:29:27,Male,4,RB Leipzig de - SoccerSphere,Cashier,10:00 AM - 6:00 PM
Lalo,Recio,2004-01-10 08:46:11,Male,3,RB Salzburg at - Referee's Choice Sports,Customer Service Representative,11:00 AM - 7:00 PM
Josefa,Villar,1977-04-23 21:36:07,Female,15,RB Salzburg at - Referee's Choice Sports,Sales Associate,10:00 AM - 6:00 PM
Sigfrido,Carrillo,1988-07-22 15:42:50,Male,15,RB Salzburg at - Referee's Choice Sports,Store Manager,12:00 PM - 8:00 PM
Loida,Serna,1981-06-18 01:42:22,Female,9,RB Salzburg at - Referee's Choice Sports,Cashier,10:00 AM - 6:00 PM
Viviana,Arco,2003-06-16 03:41:40,Female,2,RB Salzburg at - GoalLine Gear,Inventory Clerk,9:00 AM - 5:00 PM
Valeria,Ordóñez,2005-05-12 21:36:33,Female,13,RB Salzburg at - GoalLine Gear,Cashier,9:00 AM - 5:00 PM
Emelina,Cañizares,1985-11-15 17:36:49,Female,6,RB Salzburg at - GoalLine Gear,Sales Associate,10:00 AM - 6:00 PM
Buenaventura,Asensio,1990-12-14 22:25:32,Male,11,RB Salzburg at - SoccerSphere,Inventory Clerk,10:00 AM - 6:00 PM
Isabel,Menendez,1987-07-16 00:55:48,Female,10,RB Salzburg at - SoccerSphere,Store Manager,12:00 PM - 8:00 PM
Gala,Ripoll,1991-01-04 10:31:51,Female,6,RB Salzburg at - SoccerSphere,Cashier,9:00 AM - 5:00 PM
Edelmira,Grande,1990-09-11 01:26:09,Female,2,RB Salzburg at - KickOff Kits,Cashier,9:00 AM - 5:00 PM
Marianela,Jáuregui,1977-10-23 10:48:03,Female,6,RB Salzburg at - KickOff Kits,Cashier,11:00 AM - 7:00 PM
Ceferino,Querol,1996-02-17 12:28:05,Male,8,RB Salzburg at - KickOff Kits,Inventory Clerk,11:00 AM - 7:00 PM
Octavio,Sierra,1993-11-19 18:51:21,Male,4,RB Salzburg at - KickOff Kits,Store Manager,10:00 AM - 6:00 PM
Eloy,Rosales,1976-04-28 20:28:54,Male,3,RB Salzburg at - KickOff Kits,Inventory Clerk,10:00 AM - 6:00 PM
Wilfredo,Angulo,1979-02-12 18:51:56,Male,15,RB Salzburg at - PitchPerfect Provisions,Cashier,10:00 AM - 6:00 PM
Pastor,Neira,1977-05-17 08:41:40,Male,5,RB Salzburg at - PitchPerfect Provisions,Sales Associate,10:00 AM - 6:00 PM
Marisol,Calzada,1999-04-12 07:39:34,Female,2,RB Salzburg at - PitchPerfect Provisions,Sales Associate,9:00 AM - 5:00 PM
Bernarda,Montero,2004-01-22 12:54:41,Female,7,RB Salzburg at - PitchPerfect Provisions,Sales Associate,11:00 AM - 7:00 PM
Casandra,Olmedo,2000-10-22 06:10:48,Female,14,RB Salzburg at - PitchPerfect Provisions,Inventory Clerk,10:00 AM - 6:00 PM
Saturnina,Badía,1993-11-14 21:34:07,Female,13,RB Salzburg at - PitchSide Pro Shop,Sales Associate,11:00 AM - 7:00 PM
Irene,Trujillo,1994-02-09 09:23:48,Female,7,RB Salzburg at - PitchSide Pro Shop,Sales Associate,12:00 PM - 8:00 PM
Rosalía,Castilla,1983-10-18 11:37:12,Female,2,RB Salzburg at - PitchSide Pro Shop,Store Manager,12:00 PM - 8:00 PM
Toribio,Roig,1979-11-15 20:10:04,Male,11,RB Salzburg at - PitchSide Pro Shop,Sales Associate,10:00 AM - 6:00 PM
Aurora,Cantero,1982-07-12 12:45:51,Female,2,RB Salzburg at - PitchSide Pro Shop,Sales Associate,10:00 AM - 6:00 PM
José Luis,Cantero,1985-03-01 19:11:45,Male,4,RB Salzburg at - PitchSide Pro Shop,Cashier,12:00 PM - 8:00 PM
Jeremías,Jaén,1988-07-28 00:34:11,Male,11,RB Salzburg at - NetBound Sports,Cashier,12:00 PM - 8:00 PM
Atilio,Blanco,1997-11-30 23:56:42,Male,3,RB Salzburg at - NetBound Sports,Inventory Clerk,10:00 AM - 6:00 PM
Virginia,Contreras,2003-07-15 15:12:59,Female,11,RB Salzburg at - NetBound Sports,Cashier,12:00 PM - 8:00 PM
Cornelio,Silva,2003-07-19 10:20:37,Male,15,RB Salzburg at - NetBound Sports,Customer Service Representative,9:00 AM - 5:00 PM
Jorge,Esparza,1987-08-13 03:17:37,Male,7,RB Salzburg at - TurfTrends Emporium,Inventory Clerk,11:00 AM - 7:00 PM
Reynaldo,Fabregat,2002-02-18 15:17:12,Male,7,RB Salzburg at - TurfTrends Emporium,Inventory Clerk,9:00 AM - 5:00 PM
Inés,Cantón,1982-08-13 18:54:30,Female,12,RB Salzburg at - CornerKick Collections,Sales Associate,11:00 AM - 7:00 PM
Ester,Aguado,2005-11-28 22:47:51,Female,13,RB Salzburg at - CornerKick Collections,Store Manager,11:00 AM - 7:00 PM
Eutropio,Blazquez,2001-11-13 11:40:19,Male,4,RB Salzburg at - CornerKick Collections,Inventory Clerk,11:00 AM - 7:00 PM
Bartolomé,Rosell,1996-05-17 23:24:02,Male,15,RB Salzburg at - CornerKick Collections,Customer Service Representative,10:00 AM - 6:00 PM
Adriana,Manjón,1991-04-30 02:53:46,Female,13,RB Salzburg at - CornerKick Collections,Sales Associate,9:00 AM - 5:00 PM
Toño,Manuel,1986-03-31 10:45:33,Male,2,RB Salzburg at - Striker's Style Outlet,Sales Associate,12:00 PM - 8:00 PM
Manuela,Cadenas,1988-07-12 09:48:53,Female,4,RB Salzburg at - Striker's Style Outlet,Store Manager,10:00 AM - 6:00 PM
Dani,Taboada,1997-10-29 19:26:05,Male,8,RB Salzburg at - Striker's Style Outlet,Cashier,10:00 AM - 6:00 PM
Catalina,Fernández,1999-10-07 12:43:48,Female,5,RB Salzburg at - Striker's Style Outlet,Store Manager,11:00 AM - 7:00 PM
Alejo,Salazar,1977-10-11 02:38:21,Male,7,Racing Ferrol - KickOff Kits,Customer Service Representative,10:00 AM - 6:00 PM
Angelina,Raya,1993-10-03 00:17:59,Female,11,Racing Ferrol - KickOff Kits,Sales Associate,12:00 PM - 8:00 PM
Cándido,Heredia,1982-09-12 02:43:20,Male,6,Racing Ferrol - KickOff Kits,Customer Service Representative,9:00 AM - 5:00 PM
Cándido,Barceló,1998-03-28 00:36:59,Male,13,Racing Ferrol - KickOff Kits,Sales Associate,11:00 AM - 7:00 PM
Fulgencio,Jiménez,1977-12-02 07:51:39,Male,12,Racing Ferrol - SoccerSphere,Cashier,11:00 AM - 7:00 PM
Nicolasa,Cortés,1975-12-07 17:52:59,Female,7,Racing Ferrol - SoccerSphere,Store Manager,9:00 AM - 5:00 PM
Silvio,Manuel,1974-04-10 22:51:36,Male,5,Racing Ferrol - SoccerSphere,Store Manager,9:00 AM - 5:00 PM
Juan,Almansa,1993-07-22 20:56:42,Male,9,Racing Ferrol - Referee's Choice Sports,Sales Associate,12:00 PM - 8:00 PM
Pascuala,Manrique,2001-09-17 00:32:21,Female,7,Racing Ferrol - Referee's Choice Sports,Store Manager,12:00 PM - 8:00 PM
Aarón,Farré,1974-09-10 20:54:01,Male,14,Racing Ferrol - Referee's Choice Sports,Customer Service Representative,12:00 PM - 8:00 PM
Judith,Ortuño,1975-09-23 17:16:40,Female,4,Racing Ferrol - Referee's Choice Sports,Customer Service Representative,11:00 AM - 7:00 PM
Nazaret,Aroca,1977-01-21 01:09:39,Female,10,Racing Ferrol - Referee's Choice Sports,Cashier,11:00 AM - 7:00 PM
Ainoa,Carrasco,1979-10-08 02:05:37,Female,14,Racing Ferrol - Referee's Choice Sports,Cashier,9:00 AM - 5:00 PM
Arsenio,Arribas,2001-08-05 04:49:53,Male,3,Racing Ferrol - GoalLine Gear,Customer Service Representative,10:00 AM - 6:00 PM
Bernardita,Laguna,1986-12-27 01:02:24,Female,15,Racing Ferrol - GoalLine Gear,Cashier,10:00 AM - 6:00 PM
Jorge,Abad,1991-01-17 20:07:11,Male,9,Racing Ferrol - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Salvador,Priego,1990-03-21 04:39:12,Male,2,Racing Ferrol - TurfTrends Emporium,Customer Service Representative,11:00 AM - 7:00 PM
Filomena,Badía,1996-12-05 14:06:20,Female,3,Racing Ferrol - CornerKick Collections,Cashier,9:00 AM - 5:00 PM
Joaquín,Cornejo,2005-08-02 17:07:11,Male,9,Racing Ferrol - CornerKick Collections,Customer Service Representative,10:00 AM - 6:00 PM
Ainara,Barragán,1999-04-17 13:20:43,Female,15,Racing Ferrol - PitchSide Pro Shop,Cashier,11:00 AM - 7:00 PM
Ofelia,Pagès,2005-02-03 11:27:10,Female,9,Racing Ferrol - PitchSide Pro Shop,Customer Service Representative,11:00 AM - 7:00 PM
Amada,Miró,2002-10-03 08:30:58,Female,15,Racing Ferrol - PitchSide Pro Shop,Store Manager,9:00 AM - 5:00 PM
Juanita,Escalona,1985-11-08 15:42:55,Female,8,Racing Ferrol - PitchSide Pro Shop,Customer Service Representative,10:00 AM - 6:00 PM
Amparo,Oliveras,2003-12-14 01:08:59,Female,6,Racing Ferrol - PitchSide Pro Shop,Store Manager,12:00 PM - 8:00 PM
Cristian,Jerez,1979-05-20 04:22:10,Male,11,Racing Ferrol - NetBound Sports,Store Manager,9:00 AM - 5:00 PM
Jafet,Garcés,1981-07-28 18:03:09,Male,3,Racing Ferrol - NetBound Sports,Cashier,11:00 AM - 7:00 PM
Gloria,Huerta,1993-03-19 22:33:27,Female,2,Racing Ferrol - NetBound Sports,Inventory Clerk,11:00 AM - 7:00 PM
Enrique,Trillo,1997-02-10 04:00:13,Male,7,Racing Ferrol - NetBound Sports,Customer Service Representative,11:00 AM - 7:00 PM
Apolonia,Agustín,1995-06-03 00:13:54,Female,3,Racing Ferrol - NetBound Sports,Customer Service Representative,11:00 AM - 7:00 PM
Artemio,Bas,1999-09-12 14:18:10,Male,5,Racing Ferrol - NetBound Sports,Store Manager,10:00 AM - 6:00 PM
José María,Trujillo,1975-01-07 19:16:21,Male,7,Racing Ferrol - PitchPerfect Provisions,Customer Service Representative,10:00 AM - 6:00 PM
Regina,Cánovas,2000-01-15 17:55:57,Female,5,Racing Ferrol - PitchPerfect Provisions,Customer Service Representative,12:00 PM - 8:00 PM
Cirino,Aznar,1986-11-09 06:17:49,Male,4,Racing Ferrol - PitchPerfect Provisions,Sales Associate,9:00 AM - 5:00 PM
Felix,Cisneros,2001-11-18 07:30:53,Male,13,Racing Ferrol - Striker's Style Outlet,Inventory Clerk,12:00 PM - 8:00 PM
Josefina,Borrell,1976-03-27 06:50:09,Female,11,Racing Ferrol - Striker's Style Outlet,Customer Service Representative,9:00 AM - 5:00 PM
Bartolomé,Tolosa,1977-04-15 02:19:37,Male,12,Racing Ferrol - Striker's Style Outlet,Cashier,10:00 AM - 6:00 PM
Paola,Valbuena,1986-08-05 05:04:43,Female,10,Racing Ferrol - Striker's Style Outlet,Store Manager,11:00 AM - 7:00 PM
Eli,Aramburu,1977-05-08 01:21:59,Female,11,Racing Sant - TurfTrends Emporium,Sales Associate,12:00 PM - 8:00 PM
Estela,Salom,1983-12-01 21:23:27,Female,9,Racing Sant - TurfTrends Emporium,Inventory Clerk,12:00 PM - 8:00 PM
Jordán,Valverde,2004-02-24 21:13:46,Male,3,Racing Sant - TurfTrends Emporium,Customer Service Representative,12:00 PM - 8:00 PM
Ximena,Abascal,2004-10-11 07:29:53,Female,9,Racing Sant - TurfTrends Emporium,Store Manager,11:00 AM - 7:00 PM
Alicia,Villena,1982-12-12 09:03:57,Female,7,Racing Sant - TurfTrends Emporium,Cashier,10:00 AM - 6:00 PM
Cintia,España,2004-07-27 13:26:12,Female,4,Racing Sant - TurfTrends Emporium,Inventory Clerk,9:00 AM - 5:00 PM
Julia,Pagès,1980-06-06 07:21:14,Female,14,Racing Sant - Referee's Choice Sports,Inventory Clerk,9:00 AM - 5:00 PM
Mauricio,Alcántara,2006-03-02 09:44:04,Male,6,Racing Sant - Referee's Choice Sports,Cashier,12:00 PM - 8:00 PM
Aroa,Oliveras,1995-11-24 09:13:12,Female,15,Racing Sant - SoccerSphere,Inventory Clerk,12:00 PM - 8:00 PM
Áurea,Valenzuela,1977-10-03 12:45:10,Female,7,Racing Sant - SoccerSphere,Customer Service Representative,9:00 AM - 5:00 PM
Feliciana,Ledesma,1974-07-31 03:40:26,Female,6,Racing Sant - SoccerSphere,Inventory Clerk,9:00 AM - 5:00 PM
Olimpia,Vives,1987-05-02 17:30:04,Female,8,Racing Sant - SoccerSphere,Customer Service Representative,10:00 AM - 6:00 PM
Hortensia,Bueno,1998-05-25 03:13:13,Female,6,Racing Sant - SoccerSphere,Sales Associate,10:00 AM - 6:00 PM
Nuria,Manzanares,2005-03-01 14:43:06,Female,9,Racing Sant - CornerKick Collections,Store Manager,12:00 PM - 8:00 PM
Primitiva,Gonzalez,1998-10-03 11:54:37,Female,3,Racing Sant - CornerKick Collections,Customer Service Representative,12:00 PM - 8:00 PM
Matilde,Portero,1992-06-25 21:22:35,Female,7,Racing Sant - CornerKick Collections,Cashier,12:00 PM - 8:00 PM
Octavio,Ferrández,1982-09-07 22:32:22,Male,4,Racing Sant - CornerKick Collections,Cashier,11:00 AM - 7:00 PM
Fidela,Aragonés,1976-07-23 21:56:24,Female,9,Racing Sant - PitchSide Pro Shop,Cashier,11:00 AM - 7:00 PM
Celestino,Orozco,2004-04-30 23:54:21,Male,5,Racing Sant - PitchSide Pro Shop,Inventory Clerk,12:00 PM - 8:00 PM
Cayetana,Hoz,2002-04-08 09:09:01,Female,15,Racing Sant - PitchSide Pro Shop,Inventory Clerk,9:00 AM - 5:00 PM
Loreto,Nevado,1985-07-21 13:51:23,Male,8,Racing Sant - KickOff Kits,Sales Associate,10:00 AM - 6:00 PM
Rubén,Fiol,1979-01-24 08:57:06,Male,13,Racing Sant - KickOff Kits,Cashier,11:00 AM - 7:00 PM
Elpidio,Mena,1985-12-29 01:19:44,Male,2,Racing Sant - KickOff Kits,Cashier,12:00 PM - 8:00 PM
Dani,Larrañaga,1976-10-16 15:25:00,Male,5,Racing Sant - KickOff Kits,Store Manager,12:00 PM - 8:00 PM
Sandra,Adadia,1995-02-11 17:25:13,Female,13,Racing Sant - KickOff Kits,Store Manager,12:00 PM - 8:00 PM
Gonzalo,Solé,1988-06-09 20:33:11,Male,15,Racing Sant - KickOff Kits,Inventory Clerk,12:00 PM - 8:00 PM
Dan,Tomás,2005-08-10 15:36:43,Male,15,Racing Sant - GoalLine Gear,Customer Service Representative,12:00 PM - 8:00 PM
Dionisia,Barrena,1985-11-22 16:44:56,Female,9,Racing Sant - GoalLine Gear,Inventory Clerk,10:00 AM - 6:00 PM
Ascensión,Cuadrado,1979-11-25 06:13:57,Female,2,Racing Sant - GoalLine Gear,Customer Service Representative,11:00 AM - 7:00 PM
Albino,Mariscal,1992-07-02 20:24:45,Male,2,Racing Sant - GoalLine Gear,Customer Service Representative,10:00 AM - 6:00 PM
Lino,González,2000-06-18 16:18:15,Male,6,Racing Sant - GoalLine Gear,Cashier,11:00 AM - 7:00 PM
Chuy,Losa,1989-04-27 08:52:40,Male,10,Racing Sant - GoalLine Gear,Cashier,11:00 AM - 7:00 PM
Blanca,Portillo,1989-05-01 13:18:18,Female,13,Racing Sant - NetBound Sports,Customer Service Representative,11:00 AM - 7:00 PM
Adolfo,Acevedo,1984-12-13 08:23:14,Male,13,Racing Sant - NetBound Sports,Store Manager,9:00 AM - 5:00 PM
Amada,Barroso,1979-10-05 22:49:27,Female,3,Racing Sant - NetBound Sports,Store Manager,11:00 AM - 7:00 PM
Marcial,Castelló,1974-04-30 07:36:36,Male,5,Racing Sant - PitchPerfect Provisions,Store Manager,12:00 PM - 8:00 PM
Albano,Ros,1982-05-15 10:36:57,Male,6,Racing Sant - PitchPerfect Provisions,Store Manager,9:00 AM - 5:00 PM
Amelia,Palma,1983-05-29 18:22:19,Female,14,Racing Sant - PitchPerfect Provisions,Sales Associate,11:00 AM - 7:00 PM
Felix,Marqués,1990-09-29 10:29:55,Male,14,Racing Sant - PitchPerfect Provisions,Cashier,9:00 AM - 5:00 PM
Telmo,Asenjo,1974-05-11 02:42:47,Male,12,Racing Sant - PitchPerfect Provisions,Inventory Clerk,9:00 AM - 5:00 PM
Perlita,Oliveras,2005-07-20 09:45:58,Female,4,Racing Sant - PitchPerfect Provisions,Cashier,11:00 AM - 7:00 PM
Aura,Castillo,1984-04-02 13:54:55,Female,8,Racing Sant - Striker's Style Outlet,Store Manager,9:00 AM - 5:00 PM
Gabino,Tormo,2005-03-16 19:13:49,Male,6,Racing Sant - Striker's Style Outlet,Inventory Clerk,9:00 AM - 5:00 PM
Emigdio,Aparicio,2002-02-02 19:46:53,Male,13,Racing Sant - Striker's Style Outlet,Customer Service Representative,10:00 AM - 6:00 PM
Isidro,Frutos,1994-02-22 09:16:28,Male,5,Racing Sant - Striker's Style Outlet,Sales Associate,10:00 AM - 6:00 PM
Rosendo,Sainz,2003-10-09 14:30:08,Male,2,Racing Sant - Striker's Style Outlet,Store Manager,11:00 AM - 7:00 PM
Ágata,Riquelme,1991-02-13 18:58:50,Female,8,Racing Sant - Striker's Style Outlet,Store Manager,9:00 AM - 5:00 PM
Esther,Gomis,1998-12-14 06:34:45,Female,8,Rayo Vallecano - NetBound Sports,Store Manager,9:00 AM - 5:00 PM
Eutropio,Duarte,1993-10-13 13:52:31,Male,12,Rayo Vallecano - NetBound Sports,Store Manager,10:00 AM - 6:00 PM
Íñigo,Lara,2001-02-27 13:40:09,Male,7,Rayo Vallecano - NetBound Sports,Customer Service Representative,9:00 AM - 5:00 PM
Fito,Arteaga,1981-09-27 15:11:23,Male,10,Rayo Vallecano - NetBound Sports,Sales Associate,12:00 PM - 8:00 PM
Cleto,Calderon,1980-05-18 07:03:40,Male,6,Rayo Vallecano - NetBound Sports,Customer Service Representative,11:00 AM - 7:00 PM
Claudia,Ferrando,2001-10-02 00:25:03,Female,9,Rayo Vallecano - TurfTrends Emporium,Store Manager,11:00 AM - 7:00 PM
Selena,Gonzalez,1993-08-04 05:44:39,Female,11,Rayo Vallecano - TurfTrends Emporium,Cashier,12:00 PM - 8:00 PM
Eva,Madrid,2002-05-26 13:46:30,Female,12,Rayo Vallecano - TurfTrends Emporium,Cashier,12:00 PM - 8:00 PM
Jennifer,Garcés,1977-11-26 05:54:34,Female,8,Rayo Vallecano - TurfTrends Emporium,Sales Associate,10:00 AM - 6:00 PM
Anastasio,Luís,1992-09-28 06:10:38,Male,13,Rayo Vallecano - TurfTrends Emporium,Inventory Clerk,9:00 AM - 5:00 PM
María Cristina,Mateo,2005-07-05 08:59:50,Female,10,Rayo Vallecano - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Mateo,Moya,1983-02-08 08:01:40,Male,15,Rayo Vallecano - KickOff Kits,Cashier,10:00 AM - 6:00 PM
Gerónimo,Cuesta,1992-06-09 06:58:20,Male,5,Rayo Vallecano - KickOff Kits,Sales Associate,11:00 AM - 7:00 PM
Elisa,Alcázar,2001-05-29 01:47:43,Female,7,Rayo Vallecano - KickOff Kits,Customer Service Representative,12:00 PM - 8:00 PM
Dani,Ropero,1975-02-05 13:31:44,Male,3,Rayo Vallecano - KickOff Kits,Customer Service Representative,11:00 AM - 7:00 PM
Reina,Riera,1986-01-28 04:42:24,Female,3,Rayo Vallecano - KickOff Kits,Store Manager,12:00 PM - 8:00 PM
Margarita,Adán,1984-05-29 17:30:00,Female,8,Rayo Vallecano - SoccerSphere,Cashier,9:00 AM - 5:00 PM
Ligia,Medina,2002-04-21 17:59:51,Female,10,Rayo Vallecano - SoccerSphere,Sales Associate,11:00 AM - 7:00 PM
Tomás,Manzanares,1995-04-20 15:31:11,Male,13,Rayo Vallecano - SoccerSphere,Sales Associate,11:00 AM - 7:00 PM
Julie,Barragán,1994-06-05 19:00:05,Female,12,Rayo Vallecano - PitchPerfect Provisions,Sales Associate,12:00 PM - 8:00 PM
Lino,Cantero,1977-10-18 11:33:38,Male,11,Rayo Vallecano - PitchPerfect Provisions,Inventory Clerk,11:00 AM - 7:00 PM
Arcelia,Bermudez,1977-09-17 10:02:55,Female,5,Rayo Vallecano - PitchPerfect Provisions,Cashier,9:00 AM - 5:00 PM
Felipe,Cuéllar,1983-10-12 15:09:31,Male,8,Rayo Vallecano - PitchPerfect Provisions,Inventory Clerk,11:00 AM - 7:00 PM
Francisco,Romero,1998-11-08 02:36:36,Male,15,Rayo Vallecano - PitchPerfect Provisions,Sales Associate,10:00 AM - 6:00 PM
Camilo,Olivé,1986-06-02 23:33:32,Male,4,Rayo Vallecano - GoalLine Gear,Store Manager,12:00 PM - 8:00 PM
Remedios,Huertas,1989-10-09 22:57:17,Female,13,Rayo Vallecano - GoalLine Gear,Sales Associate,10:00 AM - 6:00 PM
Esmeralda,Méndez,2000-05-26 14:42:21,Female,4,Rayo Vallecano - Striker's Style Outlet,Store Manager,10:00 AM - 6:00 PM
Guadalupe,Llobet,1998-05-17 13:56:27,Female,11,Rayo Vallecano - Striker's Style Outlet,Sales Associate,10:00 AM - 6:00 PM
René,Palacio,1979-04-09 01:01:58,Male,4,Rayo Vallecano - Striker's Style Outlet,Sales Associate,12:00 PM - 8:00 PM
Anacleto,Melero,1975-02-19 15:50:39,Male,6,Rayo Vallecano - Striker's Style Outlet,Sales Associate,10:00 AM - 6:00 PM
Ariel,Vendrell,2004-11-01 14:09:42,Male,5,Rayo Vallecano - Striker's Style Outlet,Cashier,10:00 AM - 6:00 PM
Ofelia,Planas,1979-10-26 14:58:10,Female,11,Rayo Vallecano - Referee's Choice Sports,Customer Service Representative,12:00 PM - 8:00 PM
Martin,Artigas,2002-05-31 02:13:50,Male,10,Rayo Vallecano - Referee's Choice Sports,Cashier,11:00 AM - 7:00 PM
Tiburcio,Marcos,1975-06-11 08:48:47,Male,3,Rayo Vallecano - Referee's Choice Sports,Store Manager,9:00 AM - 5:00 PM
Anacleto,Campo,1976-04-26 05:20:22,Male,2,Rayo Vallecano - Referee's Choice Sports,Cashier,12:00 PM - 8:00 PM
Ruperto,Aramburu,2003-10-17 09:02:21,Male,11,Rayo Vallecano - Referee's Choice Sports,Customer Service Representative,11:00 AM - 7:00 PM
Edmundo,Carrera,1982-11-18 02:49:48,Male,15,Rayo Vallecano - Referee's Choice Sports,Inventory Clerk,9:00 AM - 5:00 PM
María Ángeles,Cortés,1985-02-22 14:11:41,Female,14,Rayo Vallecano - PitchSide Pro Shop,Sales Associate,10:00 AM - 6:00 PM
Etelvina,Ibáñez,1998-08-21 14:58:57,Female,8,Rayo Vallecano - PitchSide Pro Shop,Inventory Clerk,10:00 AM - 6:00 PM
Matías,Adán,1986-12-31 19:52:19,Male,7,Rayo Vallecano - PitchSide Pro Shop,Sales Associate,9:00 AM - 5:00 PM
Jennifer,Valero,2004-02-28 16:58:59,Female,9,Rayo Vallecano - PitchSide Pro Shop,Store Manager,9:00 AM - 5:00 PM
Pascuala,Fabra,1998-09-14 02:33:15,Female,5,Rayo Vallecano - PitchSide Pro Shop,Inventory Clerk,12:00 PM - 8:00 PM
Adelaida,Fuster,1981-06-27 16:23:36,Female,8,Rayo Vallecano - CornerKick Collections,Customer Service Representative,9:00 AM - 5:00 PM
Adelaida,Duran,1988-10-21 03:50:03,Female,11,Rayo Vallecano - CornerKick Collections,Store Manager,10:00 AM - 6:00 PM
Adalberto,Casado,1999-06-08 12:19:55,Male,7,Rayo Vallecano - CornerKick Collections,Inventory Clerk,12:00 PM - 8:00 PM
Emiliano,Montserrat,1991-05-23 18:40:10,Male,6,Real Madrid - PitchPerfect Provisions,Sales Associate,11:00 AM - 7:00 PM
Ángeles,Pellicer,1993-02-12 04:15:09,Female,6,Real Madrid - PitchPerfect Provisions,Store Manager,12:00 PM - 8:00 PM
Fabricio,Barragán,2000-06-26 21:55:09,Male,5,Real Madrid - PitchPerfect Provisions,Inventory Clerk,9:00 AM - 5:00 PM
Ágata,Nebot,2006-02-05 03:04:34,Female,5,Real Madrid - PitchSide Pro Shop,Cashier,11:00 AM - 7:00 PM
Augusto,Garzón,1995-12-09 15:57:40,Male,12,Real Madrid - PitchSide Pro Shop,Sales Associate,11:00 AM - 7:00 PM
Genoveva,Rius,1984-04-20 12:48:26,Female,12,Real Madrid - PitchSide Pro Shop,Sales Associate,10:00 AM - 6:00 PM
Basilio,Manuel,2000-09-11 12:56:32,Male,13,Real Madrid - PitchSide Pro Shop,Store Manager,12:00 PM - 8:00 PM
Arsenio,Izaguirre,1983-03-04 15:57:08,Male,7,Real Madrid - PitchSide Pro Shop,Cashier,12:00 PM - 8:00 PM
Modesto,Vigil,2000-11-13 11:34:56,Male,10,Real Madrid - PitchSide Pro Shop,Cashier,12:00 PM - 8:00 PM
Lilia,Rios,1989-05-12 21:47:50,Female,3,Real Madrid - TurfTrends Emporium,Customer Service Representative,9:00 AM - 5:00 PM
Luís,Solano,2003-11-29 02:09:56,Male,8,Real Madrid - TurfTrends Emporium,Inventory Clerk,10:00 AM - 6:00 PM
Apolonia,Lloret,1985-10-07 03:54:04,Female,11,Real Madrid - TurfTrends Emporium,Customer Service Representative,12:00 PM - 8:00 PM
Moisés,Tomás,1991-05-08 18:39:04,Male,7,Real Madrid - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Baudelio,Franco,1998-01-13 07:52:14,Male,5,Real Madrid - TurfTrends Emporium,Cashier,9:00 AM - 5:00 PM
Eutimio,Jordán,1993-09-05 20:16:15,Male,7,Real Madrid - SoccerSphere,Store Manager,11:00 AM - 7:00 PM
Encarna,Meléndez,1982-02-07 11:40:29,Female,6,Real Madrid - SoccerSphere,Cashier,12:00 PM - 8:00 PM
Marina,Alcolea,1997-08-18 09:34:49,Female,10,Real Madrid - SoccerSphere,Inventory Clerk,9:00 AM - 5:00 PM
Hilda,Pineda,1974-11-26 12:29:14,Female,12,Real Madrid - CornerKick Collections,Inventory Clerk,11:00 AM - 7:00 PM
